targetPath,candidateCategoryId,candidatePath,similarityScore,semanticMatch,relationCounts,finalDecision,preserveId,reason,reviewerRequired,confidence
Elektronik › Oyun ve Konsol › Oyun Konsolu › Retro Oyun Konsolu,cmsg3xh77007zuzdc524lrki2,sifir-urun/elektronik/oyun-ve-konsol/oyun-konsol/konsol,0.667,false,L:0|P:0|O:0|B:8|A:2|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Elektronik › Akıllı Ev ve Güvenlik › Enerji ve Güç › Solar Şarj Cihazı,cmsg3xg3m001huzdc7fdghxgl,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/sarj-cihazi,0.667,false,L:0|P:0|O:0|B:30|A:7|M:0|C:0,CREATE_NEW_CONFIRMED,false,name similarity across different taxonomy branches — create under target parent,false,MEDIUM
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Kurutmalı Çamaşır Makinesi,cmsg3xgtp0051uzdc0u6fpuz1,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/camasir-makinesi,0.667,false,L:0|P:0|O:0|B:29|A:8|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Ev Aletleri › Beyaz Eşya › Bulaşık ve Mutfak › Ankastre Bulaşık Makinesi,cmsg3xgtz0053uzdc41141s2x,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/bulasik-makinesi,0.667,false,L:0|P:0|O:0|B:29|A:8|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Ev Aletleri › Beyaz Eşya › Pişirme › Fırın,cmsg3xguk0057uzdckk84z04k,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/firin-ocak,0.600,true,L:0|P:0|O:0|B:29|A:8|M:0|C:0,SPLIT_EXISTING,false,target 'Fırın' is a part of compound DB node 'Fırın & Ocak' — split; do not create orphan duplicate without split plan,true,MEDIUM
Ev Aletleri › Beyaz Eşya › Pişirme › Ocak,cmsg3xguk0057uzdckk84z04k,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/firin-ocak,0.600,true,L:0|P:0|O:0|B:29|A:8|M:0|C:0,SPLIT_EXISTING,false,target 'Ocak' is a part of compound DB node 'Fırın & Ocak' — split; do not create orphan duplicate without split plan,true,MEDIUM
Ev Aletleri › Beyaz Eşya › İklimlendirme › Isıtıcı,cmsg3xh54007juzdcu4xw1fg8,sifir-urun/sifir-urun-ev-elektronigi/isiticilar,0.600,true,L:0|P:0|O:0|B:7|A:1|M:0|C:0,SPLIT_EXISTING,false,target 'Isıtıcı' is a part of compound DB node 'Isıtıcı & Fan' — split; do not create orphan duplicate without split plan,true,MEDIUM
Ev Aletleri › Beyaz Eşya › İklimlendirme › Kombi,cmsg3xgv7005duzdc7yd6gsvx,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/kombi-termosifon,0.600,true,L:0|P:0|O:0|B:29|A:8|M:0|C:0,SPLIT_EXISTING,false,target 'Kombi' is a part of compound DB node 'Kombi & Termosifon' — split; do not create orphan duplicate without split plan,true,MEDIUM
Ev Aletleri › Beyaz Eşya › İklimlendirme › Termosifon,cmsg3xgv7005duzdc7yd6gsvx,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/kombi-termosifon,0.600,true,L:0|P:0|O:0|B:29|A:8|M:0|C:0,SPLIT_EXISTING,false,target 'Termosifon' is a part of compound DB node 'Kombi & Termosifon' — split; do not create orphan duplicate without split plan,true,MEDIUM
Ev Aletleri › Küçük Ev Aletleri › Ütü ve Dikiş,cmsg3xh5j007nuzdcxy5fxy14,sifir-urun/sifir-urun-ev-elektronigi/utu-makinesi,0.750,true,L:0|P:0|O:0|B:7|A:1|M:0|C:0,USE_EXISTING_ID,true,MEDIUM empty same-family node — prefer reuse over create,true,MEDIUM
Ev Aletleri › Küçük Ev Aletleri › Hava Kalitesi › Hava Temizleyici,cmsg3xh5d007luzdc8wcf168q,sifir-urun/sifir-urun-ev-elektronigi/nem-alici,0.600,true,L:0|P:0|O:0|B:7|A:1|M:0|C:0,SPLIT_EXISTING,false,target 'Hava Temizleyici' is a part of compound DB node 'Nem Alma & Hava Temizleyici' — split; do not create orphan duplicate without split plan,true,MEDIUM
Mutfak ve Sofra › Hazırlık › Mutfak Robotları › Blender,cmsg3xh1w006tuzdc746ad8e3,sifir-urun/ev-aletleri/kucuk-ev-aletleri/elektrikli-ev-aletleri/blender-mikser,0.600,true,L:0|P:0|O:0|B:28|A:4|M:0|C:0,SPLIT_EXISTING,false,target 'Blender' is a part of compound DB node 'Blender & Mikser' — split; do not create orphan duplicate without split plan,true,MEDIUM
Mutfak ve Sofra › Hazırlık › Mutfak Robotları › Mikser,cmsg3xh1w006tuzdc746ad8e3,sifir-urun/ev-aletleri/kucuk-ev-aletleri/elektrikli-ev-aletleri/blender-mikser,0.600,true,L:0|P:0|O:0|B:28|A:4|M:0|C:0,SPLIT_EXISTING,false,target 'Mikser' is a part of compound DB node 'Blender & Mikser' — split; do not create orphan duplicate without split plan,true,MEDIUM
Mutfak ve Sofra › Hazırlık › Ölçme ve Yardımcılar › Maşa,cmsg3xgbp002huzdcc5tcrs10,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/masaustu,0.600,false,L:0|P:0|O:0|B:24|A:5|M:0|C:0,CREATE_NEW_CONFIRMED,false,name similarity across different taxonomy branches — create under target parent,false,MEDIUM
Mutfak ve Sofra › İçecek Hazırlama › Kahve,cmsg3xh1m006ruzdc70t2uqd0,sifir-urun/ev-aletleri/kucuk-ev-aletleri/elektrikli-ev-aletleri/kahve-cay,0.600,true,L:0|P:0|O:0|B:28|A:4|M:0|C:0,SPLIT_EXISTING,false,target 'Kahve' is a part of compound DB node 'Kahve & Çay Makinesi' — split; do not create orphan duplicate without split plan,true,MEDIUM
Mutfak ve Sofra › İçecek Hazırlama › Çay ve Sıcak İçecek › Çay Makinesi,cmsg3xh1m006ruzdc70t2uqd0,sifir-urun/ev-aletleri/kucuk-ev-aletleri/elektrikli-ev-aletleri/kahve-cay,0.600,true,L:0|P:0|O:0|B:28|A:4|M:0|C:0,SPLIT_EXISTING,false,target 'Çay Makinesi' is a part of compound DB node 'Kahve & Çay Makinesi' — split; do not create orphan duplicate without split plan,true,MEDIUM
Mutfak ve Sofra › İçecek Hazırlama › Çay ve Sıcak İçecek › Termos,cmsg3xgv7005duzdc7yd6gsvx,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/kombi-termosifon,0.600,false,L:0|P:0|O:0|B:29|A:8|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Mutfak ve Sofra › Su Arıtma › Su Arıtma Ürünleri,cmsg3xh5t007puzdcry188nlg,sifir-urun/sifir-urun-ev-elektronigi/su-aritma,0.667,false,L:0|P:0|O:0|B:7|A:1|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Ev ve Yaşam › Mobilya › Salon › Konsol,cmsg3xh77007zuzdc524lrki2,sifir-urun/elektronik/oyun-ve-konsol/oyun-konsol/konsol,0.600,false,L:0|P:0|O:0|B:8|A:2|M:0|C:0,CREATE_NEW_CONFIRMED,false,name similarity across different taxonomy branches — create under target parent,false,MEDIUM
Ev ve Yaşam › Mobilya › Yatak Odası › Gardırop,cmsg3xgwl005nuzdcgpl7tkao,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/gardirop-tipi,0.600,false,L:0|P:0|O:0|B:29|A:8|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Ev ve Yaşam › Mobilya › Yemek Odası › Sandalye,cmsg3xi4g00dpuzdcwf1zmmz4,sifir-urun/sifir-urun-anne-bebek/mama-sandalyesi,0.600,false,L:0|P:0|O:0|B:21|A:1|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Ev ve Yaşam › Mobilya › Yemek Odası › Bank,cmsg3xg1y0013uzdcn3no2nil,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/sarj-powerbank,0.600,false,L:0|P:0|O:0|B:30|A:7|M:0|C:0,CREATE_NEW_CONFIRMED,false,name similarity across different taxonomy branches — create under target parent,false,MEDIUM
Ev ve Yaşam › Ev Tekstili › Salon Tekstili › Perde,cmsg3xiat00evuzdcfoa0iohd,sifir-urun/ev-ve-yasam/ev-dekorasyon-mobilya/ev-dekorasyon/perde,0.600,true,L:0|P:0|O:0|B:19|A:2|M:0|C:0,SPLIT_EXISTING,false,target 'Perde' is a part of compound DB node 'Perde & Stor' — split; do not create orphan duplicate without split plan,true,MEDIUM
Ev ve Yaşam › Ev Tekstili › Salon Tekstili › Stor Perde,cmsg3xiat00evuzdcfoa0iohd,sifir-urun/ev-ve-yasam/ev-dekorasyon-mobilya/ev-dekorasyon/perde,0.667,false,L:0|P:0|O:0|B:19|A:2|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Ev ve Yaşam › Dekorasyon,cmsg4wp8w002fuzxwt18nv883,sifir-urun/ev-ve-yasam/ev-dekorasyon-mobilya,0.600,true,L:1|P:0|O:0|B:19|A:2|M:0|C:8,MANUAL_BUSINESS_DECISION,false,MEDIUM match with commercial data — business chooses reuse vs create,true,MEDIUM
Ev ve Yaşam › Dekorasyon › Duvar Dekorasyonu › Tablo,cmsg3xj1800khuzdcn4i0n43y,sifir-urun/sifir-urun-antika-koleksiyon/sanat-eseri,0.600,true,L:0|P:0|O:0|B:1|A:1|M:0|C:0,SPLIT_EXISTING,false,target 'Tablo' is a part of compound DB node 'Tablo & Sanat' — split; do not create orphan duplicate without split plan,true,MEDIUM
Ev ve Yaşam › Dekorasyon › Duvar Dekorasyonu › Ayna,cmsg3xkgr00o7uzdc3jarsh2c,sifir-urun/sifir-urun-sanayi-makinesi/pres-kaynak,0.600,false,L:0|P:0|O:0|B:6|A:1|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Ev ve Yaşam › Dekorasyon › Halı ve Zemin › Halı,cmsg3xiah00etuzdcqy5qptwd,sifir-urun/ev-ve-yasam/ev-dekorasyon-mobilya/ev-dekorasyon/hali-kilim,0.600,true,L:0|P:0|O:0|B:19|A:2|M:0|C:0,SPLIT_EXISTING,false,target 'Halı' is a part of compound DB node 'Halı & Kilim' — split; do not create orphan duplicate without split plan,true,MEDIUM
Ev ve Yaşam › Dekorasyon › Halı ve Zemin › Kilim,cmsg3xiah00etuzdcqy5qptwd,sifir-urun/ev-ve-yasam/ev-dekorasyon-mobilya/ev-dekorasyon/hali-kilim,0.600,true,L:0|P:0|O:0|B:19|A:2|M:0|C:0,SPLIT_EXISTING,false,target 'Kilim' is a part of compound DB node 'Halı & Kilim' — split; do not create orphan duplicate without split plan,true,MEDIUM
Moda › Kadın › Alt Giyim › Pantolon,cmsg3xhhu00abuzdcpst0lb76,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/alt-giyim,0.600,true,L:0|P:0|O:0|B:26|A:8|M:0|C:0,SPLIT_EXISTING,false,target 'Pantolon' is a part of compound DB node 'Pantolon & Etek' — split; do not create orphan duplicate without split plan,true,MEDIUM
Moda › Kadın › Alt Giyim › Etek,cmsg3xhhu00abuzdcpst0lb76,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/alt-giyim,0.600,true,L:0|P:0|O:0|B:26|A:8|M:0|C:0,SPLIT_EXISTING,false,target 'Etek' is a part of compound DB node 'Pantolon & Etek' — split; do not create orphan duplicate without split plan,true,MEDIUM
Moda › Kadın › Alt Giyim › Şort,cmsg4wpah002luzxwa5vgezra,sifir-urun/moda/erkek/tisort,0.600,false,L:0|P:0|O:0|B:26|A:8|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Moda › Kadın › Dış Giyim › Mont,cmsg3xhhc00a9uzdc398gz2xm,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/ust-giyim,0.600,false,L:0|P:0|O:0|B:26|A:8|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Moda › Kadın › Dış Giyim › Kaban,cmsg3xhhc00a9uzdc398gz2xm,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/ust-giyim,0.600,true,L:0|P:0|O:0|B:26|A:8|M:0|C:0,SPLIT_EXISTING,false,"target 'Kaban' is a part of compound DB node 'Mont, Ceket & Kaban' — split; do not create orphan duplicate without split plan",true,MEDIUM
Moda › Kadın › Dış Giyim › Ceket,cmsg3xhhc00a9uzdc398gz2xm,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/ust-giyim,0.600,false,L:0|P:0|O:0|B:26|A:8|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Moda › Kadın › İç Giyim,cmsg3xhil00ahuzdcjltxgunu,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/ic-giyim,0.600,true,L:0|P:0|O:0|B:26|A:8|M:0|C:0,SPLIT_EXISTING,false,target 'İç Giyim' is a part of compound DB node 'İç Giyim & Pijama' — split; do not create orphan duplicate without split plan,true,MEDIUM
Moda › Kadın › İç Giyim › Pijama,cmsg3xhil00ahuzdcjltxgunu,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/ic-giyim,0.600,true,L:0|P:0|O:0|B:26|A:8|M:0|C:0,SPLIT_EXISTING,false,target 'Pijama' is a part of compound DB node 'İç Giyim & Pijama' — split; do not create orphan duplicate without split plan,true,MEDIUM
Moda › Erkek › Alt Giyim › Pantolon,cmsg3xhhu00abuzdcpst0lb76,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/alt-giyim,0.600,true,L:0|P:0|O:0|B:26|A:8|M:0|C:0,SPLIT_EXISTING,false,target 'Pantolon' is a part of compound DB node 'Pantolon & Etek' — split; do not create orphan duplicate without split plan,true,MEDIUM
Moda › Erkek › Alt Giyim › Şort,cmsg4wpah002luzxwa5vgezra,sifir-urun/moda/erkek/tisort,0.600,false,L:0|P:0|O:0|B:26|A:8|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Moda › Erkek › Takım ve Dış Giyim › Ceket,cmsg3xhhc00a9uzdc398gz2xm,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/ust-giyim,0.600,false,L:0|P:0|O:0|B:26|A:8|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Moda › Erkek › Takım ve Dış Giyim › Mont,cmsg3xhhc00a9uzdc398gz2xm,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/ust-giyim,0.600,false,L:0|P:0|O:0|B:26|A:8|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Moda › Erkek › Takım ve Dış Giyim › Kaban,cmsg3xhhc00a9uzdc398gz2xm,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/ust-giyim,0.600,true,L:0|P:0|O:0|B:26|A:8|M:0|C:0,SPLIT_EXISTING,false,"target 'Kaban' is a part of compound DB node 'Mont, Ceket & Kaban' — split; do not create orphan duplicate without split plan",true,MEDIUM
Moda › Erkek › İç Giyim,cmsg3xhil00ahuzdcjltxgunu,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/ic-giyim,0.600,true,L:0|P:0|O:0|B:26|A:8|M:0|C:0,SPLIT_EXISTING,false,target 'İç Giyim' is a part of compound DB node 'İç Giyim & Pijama' — split; do not create orphan duplicate without split plan,true,MEDIUM
Moda › Erkek › İç Giyim › Pijama,cmsg3xhil00ahuzdcjltxgunu,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/ic-giyim,0.600,true,L:0|P:0|O:0|B:26|A:8|M:0|C:0,SPLIT_EXISTING,false,target 'Pijama' is a part of compound DB node 'İç Giyim & Pijama' — split; do not create orphan duplicate without split plan,true,MEDIUM
Moda › Ayakkabı,cms93j5nc002juz3g4cu8n2z7,sifir-urun/sifir-urun-ayakkabi-canta,0.600,true,L:1|P:0|O:0|B:20|A:4|M:0|C:7,SPLIT_EXISTING,false,target 'Ayakkabı' is a part of compound DB node 'Ayakkabı & Çanta' — split; do not create orphan duplicate without split plan,true,MEDIUM
Moda › Ayakkabı › Kadın Ayakkabı › Çizme,cmsg3xhnl00bfuzdc46yu1kv0,sifir-urun/sifir-urun-ayakkabi-canta/bot-cizme,0.600,true,L:0|P:0|O:0|B:20|A:4|M:0|C:0,SPLIT_EXISTING,false,target 'Çizme' is a part of compound DB node 'Bot & Çizme' — split; do not create orphan duplicate without split plan,true,MEDIUM
Moda › Çanta ve Aksesuar › Çanta,cms93j5nc002juz3g4cu8n2z7,sifir-urun/sifir-urun-ayakkabi-canta,0.600,true,L:1|P:0|O:0|B:20|A:4|M:0|C:7,SPLIT_EXISTING,false,target 'Çanta' is a part of compound DB node 'Ayakkabı & Çanta' — split; do not create orphan duplicate without split plan,true,MEDIUM
Moda › Çanta ve Aksesuar › Çanta › Cüzdan,cmsg3xhot00bjuzdc6l7jez5s,sifir-urun/sifir-urun-ayakkabi-canta/cuzdan,0.600,true,L:0|P:0|O:0|B:20|A:4|M:0|C:0,SPLIT_EXISTING,false,target 'Cüzdan' is a part of compound DB node 'Cüzdan & Kartlık' — split; do not create orphan duplicate without split plan,true,MEDIUM
Moda › Çanta ve Aksesuar › Çanta › Kartlık,cmsg3xhot00bjuzdc6l7jez5s,sifir-urun/sifir-urun-ayakkabi-canta/cuzdan,0.600,true,L:0|P:0|O:0|B:20|A:4|M:0|C:0,SPLIT_EXISTING,false,target 'Kartlık' is a part of compound DB node 'Cüzdan & Kartlık' — split; do not create orphan duplicate without split plan,true,MEDIUM
Moda › Çanta ve Aksesuar › Aksesuar,cmsg3xg2e0017uzdcsodciep8,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/diger-aksesuar,0.600,false,L:0|P:0|O:0|B:30|A:7|M:0|C:0,CREATE_NEW_CONFIRMED,false,name similarity across different taxonomy branches — create under target parent,false,MEDIUM
Moda › Çanta ve Aksesuar › Aksesuar › Kemer,cmsg3xhix00ajuzdcfuswu4rw,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/aksesuar-giyim,0.600,true,L:0|P:0|O:0|B:26|A:8|M:0|C:0,SPLIT_EXISTING,false,"target 'Kemer' is a part of compound DB node 'Şapka, Atkı & Kemer' — split; do not create orphan duplicate without split plan",true,MEDIUM
Moda › Çanta ve Aksesuar › Aksesuar › Şapka,cmsg3xhix00ajuzdcfuswu4rw,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/aksesuar-giyim,0.600,false,L:0|P:0|O:0|B:26|A:8|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Moda › Çanta ve Aksesuar › Aksesuar › Atkı,cmsg3xhix00ajuzdcfuswu4rw,sifir-urun/moda/giyim-aksesuar/giyim-aksesuar/aksesuar-giyim,0.600,false,L:0|P:0|O:0|B:26|A:8|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Moda › Çanta ve Aksesuar › Takı,cms93j5nj002luz3g1ovcvwie,sifir-urun/sifir-urun-saat-taki,0.600,false,L:0|P:0|O:0|B:18|A:2|M:0|C:7,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
